,lon,lat,locality,year,month,kingdom,class,family,genus,species,new,state,country
96,12.5564,56.0708,Boderne,1900,6.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"56.0708,12.5564",Region Hovedstaden,Danmark
97,-6.8333,61.4667,Vágur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"61.4667,-6.8333",Suðuroyar sýsla,Føroyar
102,-157.8909,21.5913,Punaluu,1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"21.5913,-157.8909",Hawaii,United States
106,8.42,55.45,Nordby,1900,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"55.45,8.42",Region Syddanmark,Danmark
128,8.42,55.45,Nordby,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"55.45,8.42",Region Syddanmark,Danmark
131,11.68,55.2,Skraverup,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"55.2,11.68",Region Sjælland,Danmark
164,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"55.0,10.0",Region Syddanmark,Danmark
165,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"55.0,10.0",Region Syddanmark,Danmark
166,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"55.0,10.0",Region Syddanmark,Danmark
167,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"55.0,10.0",Region Syddanmark,Danmark
168,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"55.0,10.0",Region Syddanmark,Danmark
169,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"55.0,10.0",Region Syddanmark,Danmark
170,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"55.0,10.0",Region Syddanmark,Danmark
174,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"55.0,10.0",Region Syddanmark,Danmark
175,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"55.0,10.0",Region Syddanmark,Danmark
217,-71.4495,41.4501,Bridgetown,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"41.4501,-71.4495",Rhode Island,United States
240,-6.8333,61.4667,Vágur,1900,,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"61.4667,-6.8333",Suðuroyar sýsla,Føroyar
246,-4.2026,56.4907,Ardeonaig,1900,,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"56.4907,-4.2026",Scotland,United Kingdom
258,-63.5565,44.4918,Ketch Harbour,1901,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"44.4918,-63.5565",Nova Scotia,Canada
259,-66.3658,44.2667,Westport,1901,1.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"44.2667,-66.3658",Nova Scotia,Canada
266,-70.6149,42.9785,Rye,1901,4.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"42.9785,-70.6149",New Hampshire,United States
297,-66.1587,43.807,Cape Forchu,1901,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"43.807,-66.1587",Nova Scotia,Canada
307,-121.9506,36.5414,Carmel-by-the-Sea,1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"36.5414,-121.9506",California,United States
315,-121.9506,36.5414,Carmel-by-the-Sea,1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"36.5414,-121.9506",California,United States
319,15.12,55.03,Snogebæk,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"55.03,15.12",Region Hovedstaden,Danmark
326,9.0,57.0,Øsløs,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"57.0,9.0",Region Nordjylland,Danmark
327,9.0,57.0,Øsløs,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"57.0,9.0",Region Nordjylland,Danmark
336,9.0,57.0,Øsløs,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"57.0,9.0",Region Nordjylland,Danmark
337,9.0,57.0,Øsløs,1901,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"57.0,9.0",Region Nordjylland,Danmark
346,-68.799,44.3315,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.3315,-68.799",Maine,United States
347,-68.7995,44.3334,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"44.3334,-68.7995",Maine,United States
348,-69.4685,43.8931,Chamberlain,1901,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"43.8931,-69.4685",Maine,United States
349,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada
350,-64.3614,45.1593,Kingsport,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"45.1593,-64.3614",Nova Scotia,Canada
351,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"45.6852,-62.6216",Nova Scotia,Canada
352,-60.2594,46.2175,Gannon Road,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"46.2175,-60.2594",Nova Scotia,Canada
353,-68.7995,44.3334,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"44.3334,-68.7995",Maine,United States
355,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada
357,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada
358,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada
360,-68.7995,44.3334,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"44.3334,-68.7995",Maine,United States
361,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada
362,-68.799,44.3315,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.3315,-68.799",Maine,United States
364,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada
365,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada
368,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada
369,-69.5062,43.837,New Harbor,1901,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"43.837,-69.5062",Maine,United States
370,-68.799,44.3315,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.3315,-68.799",Maine,United States
371,-69.4685,43.8931,Chamberlain,1901,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"43.8931,-69.4685",Maine,United States
372,-64.3614,45.1593,Kingsport,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"45.1593,-64.3614",Nova Scotia,Canada
373,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada
376,-62.7,45.6667,Pictou Landing,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6667,-62.7",Nova Scotia,Canada
380,-62.7,45.6667,Pictou Landing,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6667,-62.7",Nova Scotia,Canada
383,-62.6512,45.6868,Pictou Landing,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6868,-62.6512",Nova Scotia,Canada
392,9.0,57.0,Øsløs,1901,8.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark
393,9.0,57.0,Øsløs,1901,8.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark
394,9.0,57.0,Øsløs,1901,8.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"57.0,9.0",Region Nordjylland,Danmark
421,-63.5566,44.5695,Herring Cove,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"44.5695,-63.5566",Nova Scotia,Canada
423,-72.9892,41.2282,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.2282,-72.9892",Connecticut,United States
424,-63.5598,44.5981,Fergusons Cove,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.5981,-63.5598",Nova Scotia,Canada
425,-63.5566,44.5695,Herring Cove,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"44.5695,-63.5566",Nova Scotia,Canada
426,-63.5598,44.5981,Fergusons Cove,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.5981,-63.5598",Nova Scotia,Canada
427,-72.9892,41.2282,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.2282,-72.9892",Connecticut,United States
429,-63.5566,44.5695,Herring Cove,1901,9.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"44.5695,-63.5566",Nova Scotia,Canada
430,-63.5598,44.5981,Fergusons Cove,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.5981,-63.5598",Nova Scotia,Canada
432,-72.9892,41.2282,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.2282,-72.9892",Connecticut,United States
434,-72.9895,41.2272,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.2272,-72.9895",Connecticut,United States
436,-72.9895,41.2272,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.2272,-72.9895",Connecticut,United States
439,-72.9902,41.227,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.227,-72.9902",Connecticut,United States
449,-70.9309,42.4349,Nahant,1901,11.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"42.4349,-70.9309",Massachusetts,United States
450,-70.9309,42.4349,Nahant,1901,11.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"42.4349,-70.9309",Massachusetts,United States
451,-70.6684,41.5298,Woods Hole,1901,12.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"41.5298,-70.6684",Massachusetts,United States
458,-70.8393,41.3515,Aquinnah,1901,,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"41.3515,-70.8393",Massachusetts,United States
469,12.0,56.0,Asserbo,1902,4.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"56.0,12.0",Region Hovedstaden,Danmark
470,12.0,56.0,Asserbo,1902,4.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"56.0,12.0",Region Hovedstaden,Danmark
471,12.0,56.0,Asserbo,1902,4.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"56.0,12.0",Region Hovedstaden,Danmark
473,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark
474,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark
475,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark
476,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark
477,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark
478,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,9.0",Region Nordjylland,Danmark
479,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,9.0",Region Nordjylland,Danmark
480,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,9.0",Region Nordjylland,Danmark
481,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,9.0",Region Nordjylland,Danmark
508,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"62.0,-7.0",Streymoyar sýsla,Føroyar
509,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"62.0,-7.0",Streymoyar sýsla,Føroyar
513,-7.13,62.15,Vestmanna,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"62.15,-7.13",Streymoyar sýsla,Føroyar
514,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"62.0,-7.0",Streymoyar sýsla,Føroyar
515,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"57.0,10.0",Region Nordjylland,Danmark
516,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"57.0,10.0",Region Nordjylland,Danmark
519,-6.32,62.28,Svínoy,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.28,-6.32",Norðoya sýsla,Føroyar
520,-6.8,62.23,Fuglafjørður,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.23,-6.8",Eysturoyar sýsla,Føroyar
531,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"57.0,10.0",Region Nordjylland,Danmark
532,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"57.0,10.0",Region Nordjylland,Danmark
533,-6.32,62.28,Svínoy,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"62.28,-6.32",Norðoya sýsla,Føroyar
535,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"57.0,10.0",Region Nordjylland,Danmark
536,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"57.0,10.0",Region Nordjylland,Danmark
537,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"57.0,10.0",Region Nordjylland,Danmark
540,9.0,57.0,Øsløs,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark
541,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,10.0",Region Nordjylland,Danmark
542,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,10.0",Region Nordjylland,Danmark
543,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,10.0",Region Nordjylland,Danmark
544,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,10.0",Region Nordjylland,Danmark
545,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,10.0",Region Nordjylland,Danmark
547,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Himanthaliaceae,Himanthalia,Himanthalia elongata,"62.0,-7.0",Streymoyar sýsla,Føroyar
548,-6.73,62.18,Syðrugøta,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"62.18,-6.73",Eysturoyar sýsla,Føroyar
549,-6.58,62.23,Klaksvik,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"62.23,-6.58",Norðoya sýsla,Føroyar
550,-6.58,62.23,Klaksvik,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"62.23,-6.58",Norðoya sýsla,Føroyar
555,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,10.0",Region Nordjylland,Danmark
556,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,10.0",Region Nordjylland,Danmark
557,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,10.0",Region Nordjylland,Danmark
558,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,10.0",Region Nordjylland,Danmark
560,-6.73,62.18,Syðrugøta,1902,7.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.18,-6.73",Eysturoyar sýsla,Føroyar
561,-6.73,62.18,Syðrugøta,1902,7.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.18,-6.73",Eysturoyar sýsla,Føroyar
562,-6.73,62.18,Syðrugøta,1902,7.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.18,-6.73",Eysturoyar sýsla,Føroyar
563,-7.0,62.0,Koltur,1902,7.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar
569,-6.32,62.28,Svínoy,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.28,-6.32",Norðoya sýsla,Føroyar
570,-6.8,62.23,Fuglafjørður,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.23,-6.8",Eysturoyar sýsla,Føroyar
571,-7.13,62.15,Vestmanna,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.15,-7.13",Streymoyar sýsla,Føroyar
572,-7.13,62.15,Vestmanna,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.15,-7.13",Streymoyar sýsla,Føroyar
573,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.0,-7.0",Streymoyar sýsla,Føroyar
574,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.0,-7.0",Streymoyar sýsla,Føroyar
577,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.0,-7.0",Streymoyar sýsla,Føroyar
578,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.0,-7.0",Streymoyar sýsla,Føroyar
579,-7.13,62.15,Vestmanna,1902,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"62.15,-7.13",Streymoyar sýsla,Føroyar
580,-7.13,62.15,Vestmanna,1902,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"62.15,-7.13",Streymoyar sýsla,Føroyar
582,-7.0,62.0,Koltur,1902,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"62.0,-7.0",Streymoyar sýsla,Føroyar
583,-7.0,62.0,Koltur,1902,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"62.0,-7.0",Streymoyar sýsla,Føroyar
584,10.0,57.0,Gistrup,1902,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"57.0,10.0",Region Nordjylland,Danmark
